0   , 269098 , -66    , -57    , 9      , 1      , 0      , 0      , 0      , 0      
1   , 269108 , 0      , 0      , 0      , 9      , 0      , 0      , 0      , 0      
2   , 269118 , 0      , 0      , 0      , 10     , 0      , 0      , 0      , 0      
3   , 269128 , -66    , -57    , 9      , 1      , 0      , 0      , 0      , 0      
4   , 269138 , 0      , 0      , 0      , 9      , 0      , 0      , 0      , 0      
5   , 269148 , 0      , 0      , 0      , 10     , 0      , 0      , 0      , 0      
6   , 269158 , -66    , -57    , 9      , 1      , 0      , 0      , 0      , 0      
7   , 269168 , 0      , 0      , 0      , 9      , 0      , 0      , 0      , 0      
8   , 269178 , 0      , 0      , 0      , 10     , 0      , 0      , 0      , 0      
9   , 269188 , -66    , -57    , 9      , 1      , 0      , 0      , 0      , 0      
10  , 269198 , 0      , 0      , 0      , 9      , 0      , 0      , 0      , 0      
11  , 269208 , 0      , 0      , 0      , 10     , 0      , 0      , 0      , 0      
12  , 269218 , -66    , -57    , 9      , 1      , 0      , 0      , 0      , 0      
13  , 269228 , 0      , 0      , 0      , 9      , 0      , 0      , 0      , 0      
14  , 269238 , 0      , 0      , 0      , 10     , 0      , 0      , 0      , 0      
15  , 269248 , -66    , -57    , 9      , 1      , 0      , 0      , 0      , 0      
16  , 269258 , 0      , 0      , 0      , 9      , 0      , 0      , 0      , 0      
17  , 269268 , 0      , 0      , 0      , 10     , 0      , 0      , 0      , 0      
18  , 269278 , -66    , -57    , 9      , 1      , 0      , 0      , 0      , 0      
19  , 269288 , 0      , 0      , 0      , 9      , 0      , 0      , 0      , 0      
20  , 269298 , 0      , 0      , 0      , 10     , 0      , 0      , 0      , 0      
21  , 269308 , -66    , -57    , 9      , 1      , 0      , 0      , 0      , 0      
22  , 269318 , 0      , 0      , 0      , 9      , 0      , 0      , 0      , 0      
23  , 269328 , 0      , 0      , 0      , 10     , 0      , 0      , 0      , 0      
24  , 269338 , -66    , -57    , 9      , 1      , 0      , 0      , 0      , 0      
25  , 269348 , 0      , 0      , 0      , 9      , 0      , 0      , 0      , 0      
26  , 269358 , 0      , 0      , 0      , 10     , 0      , 0      , 0      , 0      
27  , 269368 , -66    , -57    , 9      , 1      , 0      , 0      , 0      , 0      
28  , 269378 , 0      , 0      , 0      , 9      , 0      , 0      , 0      , 0      
29  , 269388 , 0      , 0      , 0      , 10     , 0      , 0      , 0      , 0      
30  , 269398 , -66    , -57    , 9      , 1      , 0      , 0      , 0      , 0      
